compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
In2S7Sn3,68366,11,0.51,0.866,0.291,2,4,1.51,4.04,20.77,3.35,12.9,Non-Zintl
In2Sb6Sr5,36468,55,0.12,0.535,0.407,2,2,1.24,9.97,15.01,4.13,4.86,Non-Zintl
In2Se3,640495,169,1.06,2.097,0.031,3,1,1.16,0.72,396.66,3.5,14.59,Non-Zintl
In2Se3,17008,160,0.77,1.957,0.041,1,1,0.27,0.12,39.89,1.28,12.98,Non-Zintl
In2Se3,108563,170,0.62,2.63,1.062,4,2,1.11,0.49,1.9,3.67,3.17,Non-Zintl
In2Se4Zn1,25647,82,0.99,0.805,0.031,3,1,3.59,4.76,617.53,3.68,8.59,Non-Zintl
In2Sr1Te4,41167,66,0.91,0.671,0.129,2,1,1.03,4.52,53.46,3.61,4.85,Non-Zintl
In2Te4Zn1,25650,82,0.84,0.554,0.029,3,1,2.55,6.83,565.14,4.9,9.54,Non-Zintl
In2Te5,501,9,0.84,0.359,0.237,11,3,0.4,2.52,4.69,43.22,15.12,Non-Zintl
In3Rb1S5,59667,10,1.22,1.012,0.098,5,1,1.45,3.72,124.04,6.94,5.64,Non-Zintl
In3S5Tl1,402124,12,1.711,2.289,0.814,2,1,1.35,3.22,4.37,10.305,1.683,Non-Zintl
In4O7Rb2,6321,162,1.49,7.502,0.065,4,1,2.84,0.5,626.4,1.19,5.17,Non-Zintl
In4Se3,23465,58,0.23,0.229,0.057,2,1,1.11,22.75,185.12,8.91,10.31,Non-Zintl
In4Te3,79121,58,0.19,0.156,0.067,4,3,0.98,42.32,149.78,22.24,27.65,Non-Zintl
In5K1S8,40875,12,1.3,1.53,0.044,5,1,1.89,1.91,396.95,4.63,7.83,Non-Zintl
In5Rb1S8,40877,12,1.32,1.202,0.044,7,1,1.97,2.87,405.64,7.51,7.77,Non-Zintl
In5S6Tl1,56388,11,1.008,0.381,0.334,1,1,1.02,2.19,11.34,0.414,3.397,Non-Zintl
In5S7Tl1,402125,11,0.705,0.386,0.215,1,1,1.62,4.36,43.86,0.357,3.747,Non-Zintl
In6S7,640348,11,0.28,0.239,0.19,1,1,1.66,37.33,52.67,3.39,3.89,Non-Zintl
In6Se7,640477,11,0.02,0.167,0.123,1,1,1.29,53.53,84.55,4.8,5.77,Non-Zintl
In6Se7,9135,4,0.03,0.25,0.137,1,1,1.16,25.11,62.06,3.96,5.69,Non-Zintl
In7Rb1S9,412056,59,1.624,1.519,0.142,4,2,1.84,1.28,67.5,2.644,9.762,Non-Zintl
InLiTe2,639906,122,1.39,0.423,0.087,3,1,1.68,9.68,103.62,5.64,4.85,Non-Zintl
Ir1Nb1Te4,656451,31,0.09,1.424,1.216,2,4,0.36,0.29,0.37,4.19,9.2,Non-Zintl
Ir1S2,80568,62,0.61,1.109,0.788,4,8,4.91,12.84,21.42,4.55,11.17,Non-Zintl
Ir1S2,640950,62,0.61,1.1,0.779,4,8,4.91,12.99,21.8,4.57,11.25,Non-Zintl
Ir1Se2,80569,62,0.09,0.807,0.455,4,4,3.43,17.11,40.38,6.13,8.65,Non-Zintl
K1La1Na1Nb1O5,94743,129,3.66,6.189,0.85,2,1,3.71,0.52,10.22,0.7,1.15,Non-Zintl
K1La1O2,27001,166,3.88,5.915,0.275,4,1,4.11,0.49,49.11,0.95,1.5,Non-Zintl
K1La1O4Ti1,261365,129,2.79,6.241,0.926,2,2,5.39,0.61,10.75,0.64,2.01,Non-Zintl
K1La1S2,44942,166,2.99,4.086,1.784,2,3,2.77,0.51,1.77,0.57,1.41,Non-Zintl
K1La1S4Si1,603184,4,2.79,3.331,5.953,1,10,1.22,0.35,0.15,0.57,4.02,Non-Zintl
K1La1S4Si1,414544,11,2.64,2.472,4.976,1,11,1.37,0.61,0.21,0.66,4.8,Non-Zintl
K1La1Se4Si1,603185,4,2.3,2.195,5.41,1,10,0.96,0.6,0.15,0.86,5.03,Non-Zintl
K1La1Te2,98654,166,2,1.05,7.189,2,2,1.26,2.6,0.14,1.65,0.52,Non-Zintl
K1Li1S1,47229,129,3.065,2.313,0.125,2,1,1.85,3.32,74.84,4.847,2.394,Non-Zintl
K1Mg1P1,641231,129,1.69,1.688,0.055,2,1,1.92,1.68,285.69,0.96,3.73,Non-Zintl
K1Mg1Sb1,41709,129,1.27,1.507,0.13,2,2,1.1,1.42,56.03,1.36,5.92,Non-Zintl
K1Mo3S3,30752,176,0.51,0.903,1.132,2,1,1.08,2.93,2.09,3.02,1.32,Non-Zintl
K1Mo3S3,603631,176,0.51,0.904,1.133,2,1,1.11,2.93,2.09,3.02,1.32,Non-Zintl
K1Mo3S3,641249,176,0.5,0.903,1.136,2,1,1.11,2.93,2.08,3.02,1.32,Non-Zintl
K1Mo3Se3,603628,176,0.52,0.912,0.908,2,5,0.96,2.81,2.83,3.31,8.31,Non-Zintl
K1Mo3Te3,604500,176,0.33,0.977,1.17,2,3,0.84,2.35,1.79,3.33,4.48,Non-Zintl
K1N3,34270,140,3.96,0.875,1.242,5,1,1.74,2.58,1.53,4.9,0.79,Non-Zintl
K1Na1O1,32743,129,2.16,4.66,0.105,2,1,11.13,0.42,122.93,0.6,2.9,Non-Zintl
K1Na1O2Zn1,38327,14,1.79,3.843,0.088,2,1,3,0.78,223.26,0.97,4.64,Non-Zintl
K1Na1O3Ti1,47177,15,3.86,4.637,9.324,1,1,4.05,0.63,0.22,0.34,0.23,Non-Zintl
K1Na1S1,62658,62,2.5,2.262,0.098,3,1,1.81,0.88,98.05,1.56,3.43,Non-Zintl
K1Na1Se1,67278,62,2.03,1.706,0.071,3,1,1.33,1.13,132.32,2.22,4.98,Non-Zintl
K1Na1Te1,67276,62,1.96,1.1,0.07,3,1,1.05,1.79,112.03,3.16,5.5,Non-Zintl
K1Na2Sb1,44332,225,0.69,0.719,0.024,3,1,0.95,3.24,544.62,3.16,8.18,Non-Zintl
K1Nb1S2,26286,194,0.89,0.289,0.873,1,6,3.52,55.51,10.56,1.5,4.64,Non-Zintl
K1Nb1Se2,26288,194,0.82,0.198,0.906,1,6,2.05,74.59,7.6,2.34,5.63,Non-Zintl
K1O2Sc1,34958,166,3.97,0.835,0.568,8,3,7.21,14.6,26.02,4.71,2.22,Non-Zintl
K1O2Y1,49650,166,3.93,4.552,0.182,2,1,6.62,0.91,114.3,0.49,1.69,Non-Zintl
K1P1,14010,19,1.04,0.945,0.553,2,1,1.54,2.35,5.26,2.07,1.43,Non-Zintl
K1P1Zn1,12160,194,0.86,0.469,0.04,4,1,1.59,12.19,486.99,4.86,5.32,Non-Zintl
K1P3Zn4,262034,166,0.48,0.616,0.542,2,4,2.16,11.86,14.34,2.31,4.99,Non-Zintl
K1Rb1S1,72326,62,2.22,1.443,0.124,4,1,1.2,1.24,49.23,3.28,3.58,Non-Zintl
K1S2Sb1,60138,15,1.586,0.39,0.699,5,3,1.08,0.3,2.69,0.137,4.198,Non-Zintl
K1S4Si1Y1,602576,4,3.07,2.389,1.981,2,1,1.52,0.68,0.9,1.26,0.7,Non-Zintl
K1Sb1,56529,14,0.68,1.552,0.238,3,4,0.85,0.85,14.12,3.09,12.66,Non-Zintl
K1Sb1Zn1,44680,187,0.36,0.481,0.029,2,1,0.85,7.79,516.9,2.48,6.63,Non-Zintl
K1Sb1Zn1,12161,194,0.46,0.324,0.034,4,1,0.94,13.81,406.88,7.75,7.5,Non-Zintl
K1Te2Y1,419995,166,1.63,0.601,0.539,2,3,1.51,6.81,8.04,2.2,3.52,Non-Zintl
K2La2O10Ti3,74193,139,2.32,4.917,0.631,2,1,3.82,0.97,21.11,0.77,1.31,Non-Zintl
K2Mn1S2,65453,72,2.53,2.403,0.164,7,1,1.63,0.8,45.03,3.55,2.54,Non-Zintl
K2Mn1Se2,65456,72,2.22,2.539,0.13,7,1,1.2,0.62,53.88,4.08,3.48,Non-Zintl
K2Mn1Te2,65459,72,2.32,2.755,0.185,5,1,0.93,0.43,24.95,3.07,3.1,Non-Zintl
K2Mo1S4,409563,62,1.54,1.254,1.014,3,1,1.1,1.05,1.44,3.59,1.36,Non-Zintl
K2Mo1S4,641254,62,1.55,1.196,1.035,3,1,1.18,1.13,1.4,3.69,1.34,Non-Zintl
K2Mo3O10,24118,15,3.21,7.394,5.623,1,3,1.06,0.07,0.1,0.49,1.73,Non-Zintl
K2Mo3Se18,54262,4,0.97,4.13,0.868,2,2,0.8,0.15,1.58,1.78,4.55,Non-Zintl
K2Ni3S4,81731,70,1.06,0.97,2.603,10,2,1.24,2.39,0.54,13.62,1.51,Non-Zintl
K2Ni3S4,641275,70,1.06,0.969,2.57,10,2,1.24,2.41,0.56,13.62,1.52,Non-Zintl
K2Ni3Se4,641277,70,0.72,0.862,2.334,8,2,0.97,2.53,0.57,13.74,1.89,Non-Zintl
K2O1,60438,225,1.73,8.119,0.205,4,1,3.36,0.14,34.79,0.71,1.6,Non-Zintl
K2O13Ti6,25712,12,3.04,2.76,5.39,7,5,7.42,2.82,1.03,3.19,1.53,Non-Zintl
K2O15Si6Ti1,46012,2,3.57,3.039,11.18,3,2,3.27,1.31,0.19,1.5,0.46,Non-Zintl
K2O2,36641,64,2.4,2.391,0.591,10,4,2.29,1.01,8.22,4.71,4.36,Non-Zintl
K2O2Pb1,2266,2,1.92,5.2,0.642,2,1,1.11,0.18,4.21,1.2,2.1,Non-Zintl
K2O2Zn1,34603,72,2.01,8.699,0.122,1,1,4.39,0.2,119.52,0.25,3.25,Non-Zintl
K2O3Pb1,22063,36,1.27,11.744,0.242,1,1,2.27,0.11,37.27,0.27,2.79,Non-Zintl
K2O3Pb1,15929,193,1.16,6.416,0.141,4,1,2.02,0.41,126.63,1.78,4.41,Non-Zintl
K2O3Pb1,62138,62,1.26,7.561,0.226,2,1,1.69,0.21,40.92,0.86,3.54,Non-Zintl
K2O3Pb2,1412,199,1.68,0.13,0.914,1,2,1.03,52.83,2.83,5.5,3.41,Non-Zintl
K2O3Sn1,24131,62,2.15,4.843,0.133,2,1,4.09,0.48,106.08,0.95,4.09,Non-Zintl
K2O3Sn2,2216,146,1.19,0.098,0.37,1,2,1.28,96.52,13.11,4.26,3.84,Non-Zintl
K2O3Sn2,40463,199,1.27,0.072,0.738,1,4,1.32,135.43,4.15,6.43,6.38,Non-Zintl
K2O3Sn2,15511,166,1.19,0.096,0.37,1,2,1.33,98.65,13.11,4.3,3.84,Non-Zintl
K2O3Ti1,162216,63,3.64,1.301,2.083,6,1,3.2,4.13,2.04,4.33,0.54,Non-Zintl
K2O3Zr1,16264,62,3.61,3.225,0.202,2,1,2.99,0.82,52.27,1.15,3.02,Non-Zintl
K2O4Zn3,62146,15,1.42,2.075,0.082,3,1,2.46,1.91,241.08,2.28,5.25,Non-Zintl
K2O5Ti2,36097,12,3.56,5.054,4.32,1,1,10.22,0.59,0.75,0.28,0.31,Non-Zintl
K2O6Si2Zn1,79705,20,3.93,6.345,0.139,2,1,2.68,0.32,99.8,0.73,3.6,Non-Zintl
K2O7W2,67284,14,2.25,1.925,2.144,6,2,2.26,1.99,1.69,5.97,1.87,Non-Zintl
K2O7Zn6,2496,102,0.75,2.977,0.049,2,1,4.49,1.93,919.42,1.26,7.44,Non-Zintl
K2O9Si3Sn1,19027,176,3.85,2.724,0.203,3,1,5.98,1.77,86.59,1.8,2.85,Non-Zintl
K2O9Si3Ti1,19025,176,3.53,4.347,6.322,3,4,3.36,0.85,0.49,1.28,1.36,Non-Zintl
K2O9Si3Ti1,412920,146,3.66,8.756,6.801,1,5,2.66,0.21,0.3,0.3,1.74,Non-Zintl
K2O9Si3Zr1,90684,176,4.8,4.389,0.206,5,1,3.89,0.72,70.98,2.26,2.83,Non-Zintl
K2O9Si3Zr1,56898,174,4.8,4.409,0.201,5,1,3.11,0.71,73.12,2.25,2.87,Non-Zintl
K2O9Si3Zr1,200082,143,4.8,4.4,0.201,5,1,3.14,0.72,73.21,2.26,2.87,Non-Zintl
K2O9Si4,31201,176,4.62,2.403,0.16,3,1,3.74,2.67,155.13,1.74,2.94,Non-Zintl
K2P2Si1,36367,72,1.22,1.57,0.457,1,4,1.62,1.39,8.83,0.63,5.25,Non-Zintl
K2Pd1S2,641296,71,1.38,1.794,1.066,8,4,1.55,1.57,3.43,4.43,3.03,Non-Zintl
K2Pd1Se2,641298,71,0.97,2.587,0.821,1,4,1.15,0.76,4.26,0.51,4.09,Non-Zintl
K2Pd1Te2,641302,71,0.75,1.227,0.594,2,4,2.16,1.75,5.18,1.62,5.02,Non-Zintl
K2Pd3S4,41885,70,1.44,1.699,2.202,8,2,1.13,1.13,0.77,8.29,1.77,Non-Zintl
K2Pd3Se4,641300,70,0.95,0.694,1.819,10,2,0.87,3.42,0.81,20.8,2.33,Non-Zintl
K2Pt1S2,26258,71,1.58,2.049,0.92,6,4,1.3,1.33,4.43,3.52,3.79,Non-Zintl
K2Pt1Se2,40430,71,1.26,1.464,0.724,7,4,1.02,1.83,5.25,5.64,4.91,Non-Zintl
K2Pt1Te2,40432,71,0.91,1.215,0.523,2,4,0.8,1.91,6.78,1.92,6.37,Non-Zintl
K2Pt4S6,40062,166,1.44,3.761,0.355,2,3,1.12,0.45,15.54,1.31,8.1,Non-Zintl
K2Pt4Se6,69438,166,1.02,4.409,0.195,1,3,0.86,0.28,29.82,0.68,13.27,Non-Zintl
K2S1,641321,225,2.33,17.109,0.223,2,1,2.61,0.03,20.92,0.21,1.41,Non-Zintl
K2S1,412535,51,2.07,0.905,0.124,1,1,1.1,2.23,44.19,0.87,2.86,Non-Zintl
K2S2,43406,189,1.47,2.355,0.531,2,1,1.49,0.58,5.4,1.07,1.31,Non-Zintl
K2S3,1263,36,1.29,2.42,0.751,4,1,1.29,0.47,2.71,2.25,1.14,Non-Zintl
K2S3Ti1,72377,15,1.54,0.948,3.019,3,1,2.01,3.19,0.56,2.73,0.45,Non-Zintl
K2S5Sn2,73007,15,1.41,1.01,0.129,3,1,1.67,2.55,56.06,3.64,4.18,Non-Zintl
K2S7Sb4,25329,15,1.551,2.126,0.965,4,2,1.11,0.6,1.79,4.528,3.197,Non-Zintl
K2Se1,60440,225,2.11,18.982,0.146,2,1,1.63,0.02,33.28,0.23,2.14,Non-Zintl
K2Se2,73172,189,0.61,1.761,0.595,2,1,1.11,0.86,4.38,1.54,1.47,Non-Zintl
K2Se3,1264,36,0.63,1.344,0.797,4,1,0.91,1.08,2.36,4.05,1.39,Non-Zintl
K2Se4Sn2,153907,108,1.21,1.591,2.807,2,2,0.88,0.98,0.42,1.87,1.33,Non-Zintl
K2Se4W1,59242,62,1.36,1.314,0.912,2,1,0.76,0.86,1.5,3.09,1.92,Non-Zintl
K2Se5Sn2,72379,15,0.85,0.616,0.085,3,1,1.07,4.42,86.03,5.84,6.38,Non-Zintl
K2Se8Sn4,72386,8,1.16,3.687,0.484,2,1,0.97,0.2,4.28,1.38,2.33,Non-Zintl
K2Te1,641376,225,2.15,12.634,0.145,3,1,1.22,0.03,28.1,0.48,2.31,Non-Zintl
K2Te2,96741,194,0.67,1.202,0.226,2,1,0.73,1.01,12.34,2.09,2.84,Non-Zintl
K2Te2Zn1,420088,72,2.07,1.869,0.717,2,2,0.9,0.78,3.27,1.6,2.85,Non-Zintl
K2Te3,96742,62,0.61,1.094,0.285,3,4,0.79,1.37,10.31,4.4,13.16,Non-Zintl
K2Te3Zr1,410734,14,0.48,1.115,1.324,2,2,0.88,1.45,1.13,2.99,2.7,Non-Zintl
K3Mn1O4,108935,121,0.13,11.242,3.814,2,1,1.84,0.07,0.37,0.44,0.42,Non-Zintl
K3Na1Se8Sn3,280286,125,1.45,1.975,0.117,4,2,0.89,0.57,39.31,4.56,12.43,Non-Zintl
K3Nb1S4,73326,62,2.53,2.56,2.673,1,1,1.33,0.45,0.42,0.74,0.72,Non-Zintl
K3Nb1Se4,73327,62,2.01,1.857,2.59,1,1,0.97,0.63,0.38,1.08,0.89,Non-Zintl
K3O7Sc1Si2,413432,194,3.65,1.851,0.24,2,1,4.26,4.59,98.05,1.14,1.95,Non-Zintl
K3P1,25550,194,0.23,5.779,0.042,4,1,3.53,0.12,198.85,1.13,5.42,Non-Zintl
K3S3Sb1,641323,198,2.688,3.588,3.13,7,4,1.2,0.23,0.33,3.425,2.669,Non-Zintl
K3S4Sb1,41895,217,2.134,0.535,0.408,21,1,1.62,1.77,6.81,8.151,1.697,Non-Zintl
K3S4Sb1,402642,36,2.172,1.598,0.325,3,2,1.22,0.62,9.46,1.652,4.593,Non-Zintl
K3S4Ta1,59355,62,2.93,2.534,2.721,1,1,1.17,1.86,0.41,5.866,0.798,Non-Zintl
K3S4V1,81413,62,1.81,2.332,2.103,1,2,1.43,0.56,0.65,0.74,1.58,Non-Zintl
K3S4V1,641342,62,1.81,2.407,2.119,1,2,1.42,0.53,0.65,0.73,1.58,Non-Zintl
K3S4V1,74678,62,1.81,2.331,2.109,1,2,1.53,0.56,0.65,0.74,1.58,Non-Zintl
K3Sb1,641351,216,0.71,7.149,0.035,3,1,0.82,0.08,237.09,0.77,6.17,Non-Zintl
K3Sb1,44677,225,0.71,7.522,0.035,3,1,0.82,0.08,238.1,0.74,6.16,Non-Zintl
K3Sb1,26886,194,0.41,5.389,0.04,6,1,0.84,0.11,178.74,2.07,6.53,Non-Zintl
K4O12Zr5,14024,164,3.04,2.457,0.97,1,1,5.86,3.8,15.31,0.49,0.86,Non-Zintl
K4O18Si6Sn2,151543,146,3.85,4.403,0.22,3,1,2.48,0.57,51.21,1.47,2.96,Non-Zintl
K4O18Si8,2155,2,4.4,5.569,0.245,4,1,1.87,0.18,19.87,1.75,2.85,Non-Zintl
K4O4Pb1,37268,2,1.69,7.481,0.358,5,1,1.81,0.18,16.83,1.82,2.25,Non-Zintl
K4O4Sn1,158,2,2.34,6.349,0.231,4,1,2.2,0.24,35.03,1.43,2.61,Non-Zintl
K4O7V2,250388,12,3.38,6.574,7.345,1,1,2.04,0.21,0.18,0.32,0.3,Non-Zintl
K4P2Zn1,67261,166,0.96,3.568,0.115,6,1,1.45,0.3,51.88,2.19,2.87,Non-Zintl
K4P6,33259,69,0.7,0.264,0.661,5,1,1.34,14.36,3.63,9.9,1.14,Non-Zintl
K4P6,33260,70,1.03,1.778,0.864,5,3,1.4,0.82,2.41,3.74,3.46,Non-Zintl
K4S11Ta2,410672,2,1.833,3.367,2.704,3,3,0.91,0.22,0.26,3.011,2.695,Non-Zintl
K4Se6Sn2,300234,2,1.65,2.906,0.243,3,1,0.77,0.25,10.49,2.19,3.23,Non-Zintl
K4Se8Sn3,62372,68,1.46,1.608,0.083,5,4,0.89,0.78,66.31,6.38,30.19,Non-Zintl
K4Se8Sn3,55299,68,1.46,1.606,0.209,5,1,0.89,0.78,16.67,6.4,4.35,Non-Zintl
K6Mg1O4,2340,186,1.71,3.963,0.224,1,1,2.2,0.48,35.84,0.47,2.63,Non-Zintl
K6Mn1S4,65448,186,1.92,3.047,0.195,5,1,1.96,0.49,30.34,2.63,2.73,Non-Zintl
K6Mn1Se4,65450,186,1.75,1.777,0.14,5,1,1.25,0.93,41.77,4.29,3.93,Non-Zintl
K6Mn1Te4,65452,186,1.83,2.311,0.138,2,1,0.97,0.5,34.32,1.6,4.34,Non-Zintl
K6O5Pb2,74873,2,2.15,3.875,1.321,3,1,1.3,0.32,1.61,2.06,1.31,Non-Zintl
K6O7Si2,17064,14,3.53,4.625,0.138,6,1,2.45,0.47,91.78,2.63,3.62,Non-Zintl
K6O7Ti2,67396,14,3.4,5.381,0.215,6,1,2.61,0.3,37.41,2.49,2.86,Non-Zintl
K6O7Ti2,67397,7,3.4,5.362,0.22,6,1,2.35,0.3,36.22,2.49,2.83,Non-Zintl
K6Se6Sn2,410863,14,1.64,0.969,0.668,3,4,0.95,1.59,2.77,4.75,7.91,Non-Zintl
K6Si2Te6,1238,12,1.74,0.333,0.603,7,2,0.91,8.46,3.47,17.34,3.47,Non-Zintl
La1Mn7O12,260415,12,0.21,6.864,3.799,3,1,8.77,1.3,3.15,0.87,0.41,Non-Zintl
La1Mo6S8,641457,148,0.1,1.164,0.17,1.5,2,9.57,6.97,125.03,1.42,6,Non-Zintl
La1N1,641464,225,0.52,0.315,0.212,19,3,17.69,79.82,145,18.48,3.71,Non-Zintl
La1N1,162195,186,1.17,1.761,0.183,4,1,12.35,3.33,99.26,2.01,1.95,Non-Zintl
La1Na1O4Ti1,81535,129,2.89,1.849,0.731,12,3,22.28,5.19,20.88,7.15,3.12,Non-Zintl
La1O2Rb1,27331,166,3.57,3.653,0.274,9,1,2.66,1.03,49.89,3,1.58,Non-Zintl
La1O3Sc1,99538,62,4,2.024,2.013,4,1,12.37,6.08,6.13,2.39,0.6,Non-Zintl
La1O3Y1,419666,62,4.2,2.99,3.561,7,4,9.64,2.85,2.19,3.5,1.8,Non-Zintl
La1O3Y1,89455,33,4.2,3.006,3.156,7,4,7.46,2.83,2.63,3.48,1.93,Non-Zintl
La1O4V1,8294,14,3.5,4.653,7.754,2,3,9.82,1.07,0.5,0.87,0.96,Non-Zintl
La1O4V1,411083,141,3.15,2.661,1.362,5,1,12.41,2.69,7.35,2.25,0.67,Non-Zintl
La1P1,44693,225,0.26,0.558,0.157,3,3,10.71,20.28,135.36,2.02,4.33,Non-Zintl
La1P2,653819,9,0.73,0.96,0.529,1,1,2.3,8.21,20.07,1.12,1.61,Non-Zintl
La1P5,357,11,0.19,1.106,0.293,1,1,1.24,1.86,13.68,1.43,3.19,Non-Zintl
La1Rb1S2,81394,166,2.96,4.648,1.426,2,3,2.47,0.42,2.49,0.55,1.69,Non-Zintl
La1Rb1S4Si1,414545,62,2.68,1.913,4.001,2,18,1.12,0.73,0.24,2.01,11.62,Non-Zintl
La1Rb1Se2,281067,166,2.61,1.703,7.722,2,1,1.82,1.62,0.17,1.15,0.23,Non-Zintl
La1S2,1435,62,0.94,0.584,0.194,8,1,2.52,17.03,88.66,12.26,2.96,Non-Zintl
La1S3Sc1,641844,33,1.91,0.477,1.605,1,1,4.33,25.48,4.13,1.44,0.69,Non-Zintl
La1Se2,32529,14,0.52,0.397,0.249,2,1,1.92,28.2,56.95,3.55,2.35,Non-Zintl
La1Te2,90911,7,0.06,0.853,1.995,2,1,1.43,7.76,2.17,2.91,0.87,Non-Zintl
La2Mo1O6,25611,121,3.22,1.812,11.858,8,1,9.03,3.2,0.19,5.26,0.21,Non-Zintl
La2Na2O10Ti3,78487,139,2.39,3.681,0.624,3,1,8.32,1.99,28.48,1.24,1.2,Non-Zintl
La2O3,96196,164,3.94,6.465,1.994,3,4,7.36,0.76,4.42,0.69,1.86,Non-Zintl
La2O3,160220,12,3.93,4.698,5.054,5,1,5.68,1.22,1.09,1.95,0.37,Non-Zintl
La2O3,56166,150,3.94,6.432,2,3,4,7.35,0.76,4.4,0.69,1.86,Non-Zintl
La2O3,26864,150,2.17,0.491,0.503,2,1,31.82,28.1,27.13,1.86,0.92,Non-Zintl
La2O7Sn2,24195,227,2.57,1.818,0.091,3,1,20.03,7.34,658.72,2.09,4.22,Non-Zintl
La2O7Sn2,82956,227,2.56,1.835,0.087,3,1,19.9,7.21,692.97,2.09,4.32,Non-Zintl
La2O7Ti2,153816,227,3.09,2.574,0.951,3,2,29.32,4.88,21.72,1.51,1.83,Non-Zintl
La2O7Ti2,32537,36,2.76,1.802,2.226,7,1,10.41,6.41,4.67,4.95,0.62,Non-Zintl
La2O7Zr2,51573,227,3.94,3.445,0.994,3,1,23.51,2.81,18.17,1.33,0.93,Non-Zintl
La2O7Zr2,184100,227,0.24,2.487,0.154,3,1,24.88,4.87,315.25,1.62,2.86,Non-Zintl
La2O9Si1Ti2,75583,12,2.88,5.077,4.803,1,1,8.79,1.02,1.11,0.44,0.45,Non-Zintl
La2S3,641807,62,1.33,2.033,0.412,2,1,2.44,2.74,30.03,1.33,1.73,Non-Zintl
La4O12Ti3,91765,148,3.08,2.082,4.693,3,4,8.83,5.72,1.69,1.88,1.54,Non-Zintl
Li1Na1S1,61091,129,3.051,2.152,0.092,2,1,2.37,4.27,153.08,4.089,2.712,Non-Zintl
Li1Rb1S1,67254,129,2.749,1.927,0.117,2,1,1.3,2.82,70.16,4.636,3.136,Non-Zintl
Li1Rb2S4Ta1,414188,2,2.937,1.791,2.428,3,2,1.04,0.62,0.47,2.676,1.875,Non-Zintl
Li1S2Sb1,40457,148,1.222,1.141,1.275,2,1,1.41,2.42,1.68,3.557,1.261,Non-Zintl
Li1S2Y1,44957,166,2.255,1.478,0.316,1,3,3.9,1.05,30.62,0.114,3.815,Non-Zintl
Li2S1,642294,225,3.386,1.452,0.173,3,3,8.63,0.94,67.54,0.252,4.138,Non-Zintl
Li2S1,91283,33,3.15,1.176,0.148,2,2,11.36,1.6,79.26,0.425,4.483,Non-Zintl
Li2S1,657597,225,3.385,1.476,0.179,3,3,8.59,0.94,64.38,0.259,4.063,Non-Zintl
Li2S1,91282,62,3.894,0.745,0.652,3,2,3.59,1.69,9.1,0.334,1.917,Non-Zintl
Li2S4Sn1Zn1,419595,7,2.197,1.048,0.185,2,1,3.21,4.39,55.37,2.171,2.787,Non-Zintl
Li3Na5S8Ti2,391258,15,2.481,3.75,3.6,1,1,2.22,3.37,0.49,8.244,0.526,Non-Zintl
LiAlTe2,162672,122,2.44,0.697,0.235,1,9,2.71,5.86,29.87,1.19,20.6,Non-Zintl
LiGaTe2,162555,122,1.6,0.507,0.043,1,5,2.36,9.37,378.08,1.55,34.04,Non-Zintl
LiInSe2,56532,122,1.58,0.625,0.078,3,1,2.66,7.37,167.08,4.01,4.66,Non-Zintl
LiInTe2,162674,122,1.25,0.523,0.092,3,1,1.93,7.39,100.16,4.63,4.38,Non-Zintl
Mg1N2Si1,44109,122,3.5,2.909,0.123,2,1,71.47,4.18,479.34,0.54,1.81,Non-Zintl
Mg1N2Si1,642668,33,4.03,1.005,0.077,4,1,40.09,20.59,965.37,2.54,2.96,Non-Zintl
Mg1Na1Sb1,41797,129,1.07,0.835,0.228,3,5,1.69,4.27,29.83,2.86,10.37,Non-Zintl
Mg1Na2O4Si1,15619,7,3.8,5.346,0.123,2,1,9.74,0.7,201.12,0.59,2.82,Non-Zintl
Mg1O1,181463,192,3.05,1.047,0.118,1,1,7.51,10.7,282.39,0.74,2.74,Non-Zintl
Mg1O1,181464,8,2.8,7.057,0.179,2,1,5.2,0.39,96.19,0.57,2.57,Non-Zintl
Mg1O1,157528,225,4.54,2.235,0.091,3,1,41.11,5.45,668.21,0.73,1.67,Non-Zintl
Mg1O1,181462,72,3.13,0.962,0.11,1,1,8.76,13.38,346.15,0.76,2.78,Non-Zintl
Mg1O1,181466,15,3.36,5.224,0.154,6,1,11.33,0.86,169.85,1.65,2.29,Non-Zintl
Mg1O1,181465,223,2.93,6.494,0.12,3,1,22.34,0.69,275.7,0.58,2.12,Non-Zintl
Mg1O1,166273,143,3.08,1.977,0.063,4,1,36.22,5.97,1047.59,1.06,2.1,Non-Zintl
Mg1O1,181457,194,4.12,1.344,0.086,8,2,7.36,11.56,715.05,5.62,7.32,Non-Zintl
Mg1O1,181458,194,3.33,0.864,0.093,1,1,32.78,18.91,532.23,0.51,1.93,Non-Zintl
Mg1O1,181461,186,3.45,2.487,0.081,1,1,312.31,7.28,1250.13,0.19,1.48,Non-Zintl
Mg1O2,41732,205,3.57,4.836,7.33,2,3,14.08,1.45,0.78,0.54,0.63,Non-Zintl
Mg1O2,35479,205,3.57,4.835,7.33,2,3,14.78,1.45,0.78,0.54,0.63,Non-Zintl
Mg1O3Si1,75738,148,5.83,5.23,0.106,4,1,24.85,1.87,648.97,0.91,2.36,Non-Zintl
Mg1O3Si1,66888,62,5.45,2.707,0.113,2,1,33.13,6.18,728.1,0.81,2.72,Non-Zintl
